Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	fasta filename	classification filename
species	Caloplaca	0.988	0.8318	330	83	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Cantharellus	0.985	0.7924	113	41	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Ustilago	0.991	0.9434	180	32	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Agrocybe	0.988	0.8983	135	20	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Sporothrix	0.984	0.9837	272	31	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Pluteus	0.985	0.819	629	143	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Annulohypoxylon	0.972	0.8418	164	22	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Podosphaera	0.991	0.9088	212	25	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Gymnopilus	0.991	0.836	178	40	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Cordyceps	0.986	0.916	224	36	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Eutypella	0.986	0.9402	84	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hydnum	0.991	0.8602	202	41	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Botryobasidium	0.936	0.9154	46	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Peltula	0.961	0.9683	41	34	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hymenopellis	0.969	0.8673	81	10	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Geosmithia	0.989	0.9014	135	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Lentinus	0.986	0.9301	185	10	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Parastagonospora	0.987	0.8721	69	12	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Suillus	0.983	0.9386	194	18	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Stemphylium	0.994	0.9691	151	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Sistotrema	0.883	0.914	156	22	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Bovista	0.989	0.7985	102	19	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Microdochium	0.969	0.9473	83	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Rhizoplaca	0.979	0.8738	249	16	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Tulosesus	0.985	0.8763	46	16	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hypholoma	0.981	0.979	156	15	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Punctelia	0.961	0.8804	73	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Artomyces	0.984	0.937	59	16	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Resupinatus	0.976	0.8893	54	16	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Xylodon	0.988	0.9059	351	43	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Strigula	0.946	0.9523	53	16	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hypogymnia	0.988	0.8318	211	49	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Rasamsonia	0.985	0.9104	74	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Stachybotrys	0.961	0.9331	107	13	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Placopsis	0.983	0.86	64	24	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Ceriporia	0.977	0.9045	217	27	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Fulvifomes	0.975	0.8852	65	28	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Marasmius	0.983	0.8188	455	124	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Otidea	0.956	0.8815	138	30	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Nephroma	0.988	0.8318	177	22	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Tricholomopsis	0.973	0.891	74	12	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Tephrocybe	0.975	0.8172	34	10	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Apiospora	0.968	0.8927	165	33	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hygrophorus	0.974	0.8265	359	78	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Gautieria	0.979	0.8038	55	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Helminthosporium	0.97	0.8812	81	25	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Psilocybe	0.99	0.8901	189	36	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Crinipellis	0.983	0.8188	80	24	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Cyberlindnera	0.983	0.9573	195	28	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Pezicula	0.987	0.8423	195	27	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Lecanora	0.988	0.8318	587	166	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Calocera	0.965	0.8547	30	10	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Stropharia	0.984	0.8649	76	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hohenbuehelia	0.976	0.8729	85	28	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Periconia	0.987	0.8721	154	22	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Galerina	0.984	0.9005	228	45	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Phlegmacium	0.991	0.8734	422	147	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
